injection_period,strain,sex,treatment,exon,date_eclosion,time_edt,azt0_in_edt,time_azt,genotype_id,genotype,genotype_consequence
2023,b_nd,male,control,wt,5/17/2023,17:00,2,15:00,,,
2023,b_nd,male,control,wt,5/17/2023,17:45,2,15:45,,,
2023,b_nd,male,control,wt,5/17/2023,19:45,2,17:45,,,
2023,b_nd,male,control,wt,5/17/2023,19:45,2,17:45,,,
2023,b_nd,male,control,wt,5/17/2023,23:30,2,21:30,,,
2023,b_nd,male,control,wt,5/18/2023,5:00,2,3:00,,,
2023,b_nd,male,control,wt,5/18/2023,6:00,2,4:00,,,
2023,b_nd,female,control,wt,5/18/2023,7:30,2,5:30,,,
2023,b_nd,male,control,wt,5/18/2023,14:45,2,12:45,,,
2023,b_nd,male,control,wt,5/18/2023,15:45,2,13:45,,,
2023,b_nd,female,control,wt,5/18/2023,17:00,2,15:00,,,
2023,b_nd,female,control,wt,5/18/2023,17:15,2,15:15,,,
2023,b_nd,male,control,wt,5/18/2023,18:00,2,16:00,,,
2023,b_nd,male,control,wt,5/18/2023,18:15,2,16:15,,,
2023,b_nd,female,control,wt,5/18/2023,0:00,2,22:00,,,
2023,b_nd,female,control,wt,5/19/2023,18:00,2,16:00,,,
2023,b_nd,male,control,wt,5/19/2023,19:00,2,17:00,,,
2023,b_nd,female,control,wt,5/19/2023,19:00,2,17:00,,,
2023,b_nd,female,control,wt,5/19/2023,19:45,2,17:45,,,
2023,b_nd,male,control,wt,5/19/2023,21:30,2,19:30,,,
2023,b_nd,female,control,wt,5/20/2023,9:00,2,7:00,,,
2023,b_nd,male,control,wt,5/20/2023,18:00,2,16:00,,,
2023,b_nd,male,control,wt,5/20/2023,18:45,2,16:45,,,
2023,b_nd,male,control,wt,5/20/2023,19:30,2,17:30,,,
2023,b_nd,female,control,wt,5/20/2023,19:30,2,17:30,,,
2023,b_nd,male,control,wt,5/20/2023,19:30,2,17:30,,,
2023,b_nd,male,control,wt,5/20/2023,19:45,2,17:45,,,
2023,b_nd,male,control,wt,5/20/2023,19:45,2,17:45,,,
2023,b_nd,female,control,wt,5/20/2023,20:00,2,18:00,,,
2023,b_nd,female,control,wt,5/20/2023,21:15,2,19:15,,,
2023,b_nd,male,control,wt,5/20/2023,22:15,2,20:15,,,
2023,b_nd,female,control,wt,5/20/2023,22:30,2,20:30,,,
2023,b_nd,male,control,wt,5/20/2023,23:45,2,21:45,,,
2023,b_nd,female,control,wt,5/20/2023,0:00,2,22:00,,,
2023,b_nd,female,control,wt,5/20/2023,0:15,2,22:15,,,
2023,b_nd,male,control,wt,5/20/2023,0:45,2,22:45,,,
2023,b_nd,male,control,wt,5/21/2023,16:15,2,14:15,,,
2023,b_nd,female,control,wt,5/21/2023,17:45,2,15:45,,,
2023,b_nd,male,control,wt,5/21/2023,18:45,2,16:45,,,
2023,b_nd,female,control,wt,5/21/2023,19:15,2,17:15,,,
2023,b_nd,male,control,wt,5/21/2023,21:15,2,19:15,,,
2023,b_nd,female,control,wt,5/21/2023,22:00,2,20:00,,,
2023,b_nd,male,control,wt,5/22/2023,16:00,2,14:00,,,
2023,b_nd,female,control,wt,5/22/2023,19:30,2,17:30,,,
2023,b_nd,male,control,wt,5/22/2023,19:45,2,17:45,,,
2023,b_nd,female,control,wt,5/22/2023,20:00,2,18:00,,,
2023,b_nd,female,control,wt,5/22/2023,22:15,2,20:15,,,
2023,b_nd,female,control,wt,5/23/2023,12:30,2,10:30,,,
2023,b_nd,male,control,wt,5/23/2023,17:45,2,15:45,,,
2023,b_nd,female,control,wt,5/23/2023,19:30,2,17:30,,,
2023,b_nd,female,control,wt,5/23/2023,0:00,2,22:00,,,
2023,b_nd,male,period,5,6/27/2023,8:45,2,6:45,p4_09,mutant,frameshift
2023,b_nd,female,period,5,6/27/2023,14:00,2,12:00,p4_10,mutant,frameshift
2023,b_nd,male,period,4,6/27/2023,19:45,2,17:45,,,
2023,b_nd,female,period,5,6/28/2023,11:30,2,9:30,p4_12,,
2023,b_nd,male,period,5,6/28/2023,18:00,2,16:00,,,
2023,b_nd,male,period,5,6/28/2023,20:00,2,18:00,,,
2023,b_nd,female,period,5,6/28/2023,20:30,2,18:30,,,
2023,b_nd,female,period,5,6/28/2023,22:30,2,20:30,,,
2023,b_nd,male,period,4,6/28/2023,23:00,2,21:00,p3_19,,
2023,b_nd,female,period,5,6/28/2023,0:30,2,22:30,p4_11,wt,wt
2023,b_nd,male,period,5,6/28/2023,0:45,2,22:45,p4_14,,
2023,b_nd,male,period,5,6/29/2023,2:45,2,0:45,,,
2023,b_nd,female,period,5,6/29/2023,9:00,2,7:00,p4_16,,
2023,b_nd,female,period,5,6/29/2023,9:00,2,7:00,p4_20,,
2023,b_nd,male,period,5,6/29/2023,9:45,2,7:45,p4_24,,
2023,b_nd,female,period,5,6/29/2023,13:00,2,11:00,p4_23,,
2023,b_nd,male,period,5,6/29/2023,17:00,2,15:00,,,
2023,b_nd,female,period,5,6/29/2023,0:15,2,22:15,,,
2023,b_nd,male,period,5,6/29/2023,1:00,2,23:00,,,
2023,b_nd,female,period,5,6/29/2023,1:15,2,23:15,p4_17,mutant,unknown
2023,b_nd,female,period,5,6/30/2023,3:30,2,1:30,p4_19,,
2023,b_nd,male,period,4,6/30/2023,7:00,2,5:00,p3_13,,
2023,b_nd,female,period,4,6/30/2023,7:45,2,5:45,p3_16,mutant,frameshift
2023,b_nd,female,period,4,6/30/2023,8:15,2,6:15,p4_25,,
