strain,treatment,mix,id,date_injection,status_011824,mass_011824,date_transfer,mass_transfer,status_date,status_change,mortality_final,sex
fh_long*lf_short,ptth,2,1,12/19/2023,larva,121,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,ptth,2,2,12/19/2023,larva,105,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,ptth,2,3,12/19/2023,larva,128,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,ptth,2,4,12/19/2023,larva,146,1/26/2024,73,2/16/2024,larva,larva,
fh_long*lf_short,ptth,2,5,12/19/2023,larva,137,1/26/2024,120,2/7/2024,pupa,pupa,female
fh_long*lf_short,ptth,2,6,12/19/2023,larva,61,1/26/2024,41,2/16/2024,larva,larva,
fh_long*lf_short,ptth,2,7,12/19/2023,larva,159,1/26/2024,82,2/1/2024,dead,larva,
fh_long*lf_short,ptth,2,8,12/19/2023,larval/pupal_intermediate,88,1/26/2024,,1/26/2024,dead,larval/pupal_intermediate,
fh_long*lf_short,ptth,2,9,12/19/2023,larva,74,1/26/2024,,2/1/2024,dead,larva,
fh_long*lf_short,ptth,2,10,12/19/2023,larva,104,1/26/2024,61,2/16/2024,larva,larva,
fh_long*lf_short,ptth,2,11,12/19/2023,larva,142,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,ptth,2,12,12/19/2023,dead,,1/26/2024,,1/26/2024,dead,dead,
fh_long*lf_short,ptth,2,13,12/19/2023,larva,128,1/26/2024,82,2/16/2024,larva,larva,
fh_long*lf_short,ptth,2,14,12/19/2023,larva,127,1/26/2024,69,2/1/2024,dead,larva,
fh_long*lf_short,ptth,2,15,12/19/2023,larva,119,1/26/2024,88,2/16/2024,larva,larva,
fh_long*lf_short,ptth,2,16,12/19/2023,larva,152,1/26/2024,132,2/16/2024,larva,larva,
fh_long*lf_short,ptth,2,17,12/19/2023,larval/pupal_intermediate,95,1/26/2024,119,1/26/2024,larval/pupal_intermediate,larval/pupal_intermediate,
fh_long*lf_short,ptth,2,18,12/19/2023,larva,150,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,ptth,2,19,12/19/2023,larval/pupal_intermediate,131,1/26/2024,,1/26/2024,dead,larval/pupal_intermediate,
fh_long*lf_short,ptth,2,20,12/19/2023,larva,129,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,ptth,2,21,12/19/2023,larva,132,1/26/2024,73,2/13/2024,dead,larva,
fh_long*lf_short,ptth,2,22,12/19/2023,larva,140,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,ptth,2,23,12/19/2023,pupa,,1/26/2024,,1/26/2024,dead,pupa,male
fh_long*lf_short,ptth,2,24,12/19/2023,larva,135,1/26/2024,116,2/16/2024,larva,larva,
fh_long*lf_short,ptth,2,25,12/19/2023,larva,84,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,26,12/19/2023,larva,157,1/26/2024,132,2/16/2024,larva,larva,
lf_short*fh_long,ptth,2,27,12/19/2023,larva,135,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,28,12/19/2023,larva,103,1/26/2024,87,2/7/2024,larval/pupal_intermediate,larval/pupal_intermediate,
lf_short*fh_long,ptth,2,29,12/19/2023,larva,109,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,30,12/19/2023,larva,184,1/26/2024,168,2/7/2024,pupa,pupa,male
lf_short*fh_long,ptth,2,31,12/19/2023,larva,210,1/26/2024,174,2/16/2024,larva,larva,
lf_short*fh_long,ptth,2,32,12/19/2023,larva,92,1/26/2024,56,2/1/2024,dead,larva,
lf_short*fh_long,ptth,2,33,12/19/2023,larva,110,1/26/2024,88,2/7/2024,pupa,pupa,male
lf_short*fh_long,ptth,2,34,12/19/2023,larva,213,1/26/2024,117,2/16/2024,larva,larva,
lf_short*fh_long,ptth,2,35,12/19/2023,larva,81,1/26/2024,83,2/7/2024,dead,larva,
lf_short*fh_long,ptth,2,36,12/19/2023,larva,122,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,37,12/19/2023,larva,100,1/26/2024,102,2/16/2024,larva,larva,
lf_short*fh_long,ptth,2,38,12/19/2023,larva,132,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,39,12/19/2023,larva,105,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,40,12/19/2023,larva,141,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,41,12/19/2023,larva,40,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,42,12/19/2023,larva,157,1/26/2024,141,2/16/2024,larva,larva,
lf_short*fh_long,ptth,2,43,12/19/2023,larva,140,1/26/2024,135,2/7/2024,pupa,pupa,male
lf_short*fh_long,ptth,2,44,12/19/2023,larva,100,1/26/2024,47,2/1/2024,dead,larva,
lf_short*fh_long,ptth,2,45,12/19/2023,larva,122,1/26/2024,106,2/7/2024,dead,larva,
lf_short*fh_long,ptth,2,46,12/19/2023,pupa,,,,2/7/2024,moth,moth,male
lf_short*fh_long,ptth,2,47,12/19/2023,larva,143,1/26/2024,127,2/7/2024,pupa,pupa,male
lf_short*fh_long,ptth,2,48,12/19/2023,larva,173,1/26/2024,134,2/7/2024,pupa,pupa,male
lf_short*fh_long,ptth,2,49,12/19/2023,larva,26,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,50,12/19/2023,larva,124,1/26/2024,98,1/26/2024,pupa,pupa,male
lf_short*fh_long,ptth,2,51,12/19/2023,pupa,,1/26/2024,65,1/26/2024,dead,pupa,female
lf_short*fh_long,ptth,2,52,12/19/2023,larva,169,1/26/2024,127,2/1/2024,pupa,pupa,female
lf_short*fh_long,ptth,2,53,12/19/2023,larva,40,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,54,12/19/2023,larva,105,1/26/2024,,1/26/2024,dead,larva,
lf_short*fh_long,ptth,2,55,12/19/2023,pupa,87,1/26/2024,,1/26/2024,dead,pupa,male
lf_short*fh_long,ptth,2,56,12/19/2023,larva,77,1/26/2024,92,2/13/2024,dead,larva,
fh_long*lf_short,control,control,57,12/19/2023,larva,88,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,58,12/19/2023,larva,93,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,59,12/19/2023,larva,65,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,60,12/19/2023,larva,71,1/26/2024,111,2/16/2024,larva,larva,
fh_long*lf_short,control,control,61,12/19/2023,larva,47,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,62,12/19/2023,larva,117,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,63,12/19/2023,larva,87,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,64,12/19/2023,larva,48,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,65,12/19/2023,larva,92,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,66,12/19/2023,larva,128,1/26/2024,,1/26/2024,dead,larva,
fh_long*lf_short,control,control,67,12/19/2023,larva,116,1/26/2024,,1/26/2024,dead,larva,
